,Date,Listing_ID,Ordered_Quantity,Avg_Num_Of_Listings,Top_Rank_Share,Product_ID,Category_ID,Demand
9087654,01/02/2017,3958751,1,1,1,b3f49797cdc1d81a43bdd3f1c3424096,166050011,1
897,20/03/2016,3534512,7,1,1,b3f49797cdc1d81a43bdd3f1c3424096,166050011,7
1195,21/03/2016,3534512,3,1,1,b3f49797cdc1d81a43bdd3f1c3424096,166050011,3
1493,22/03/2016,3534512,0,1,1,b3f49797cdc1d81a43bdd3f1c3424096,166050011,0
1791,20/03/2016,3541358,0,1,1,b633313fd6b0da7b3e6b4a702a366ada,293582011,0
2102,21/03/2016,3541358,0,1,1,b633313fd6b0da7b3e6b4a702a366ada,293582011,0
2413,22/03/2016,3541358,0,1,1,b633313fd6b0da7b3e6b4a702a366ada,293582011,0
2724,20/03/2016,3547846,1,1,1,aed5cb01adc8cdefe2ae7a142cd5cb65,2975414011,1
3045,21/03/2016,3547846,4,1,1,aed5cb01adc8cdefe2ae7a142cd5cb65,2975414011,4
3366,22/03/2016,3547846,5,1,1,aed5cb01adc8cdefe2ae7a142cd5cb65,2975414011,5
3687,20/03/2016,3557220,0,1,1,88dd6ab7d38a5f538d9d855ee559a8e9,166051011,0
3998,21/03/2016,3557220,0,1,1,88dd6ab7d38a5f538d9d855ee559a8e9,166051011,0
4309,22/03/2016,3557220,0,1,1,88dd6ab7d38a5f538d9d855ee559a8e9,166051011,0
11669,20/03/2016,3958751,0,11,0.4,5175dd9e27c80fb7bf4bf98c409413e0,166291011,0
11976,21/03/2016,3958751,0,11,0.47,5175dd9e27c80fb7bf4bf98c409413e0,166291011,0
12283,22/03/2016,3958751,0,10.93,0.61,5175dd9e27c80fb7bf4bf98c409413e0,166291011,0
20396,20/03/2016,5306825,0,4,0.71,3cb18bd7108de3a7199b215853271f6f,375539011,0
20735,21/03/2016,5306825,0,4,0.78,3cb18bd7108de3a7199b215853271f6f,375539011,0
21074,22/03/2016,5306825,0,4,0.9,3cb18bd7108de3a7199b215853271f6f,375539011,0
21413,20/03/2016,5350673,0,1,1,db33c2e7e97e054c47c572183debaac6,375539011,0
21752,21/03/2016,5350673,0,1,1,db33c2e7e97e054c47c572183debaac6,375539011,0
22091,22/03/2016,5350673,0,1,1,db33c2e7e97e054c47c572183debaac6,375539011,0
22430,20/03/2016,5442713,0,2,0.8,e09a9e54e1a2f4bdd2ab7e2e0b5bb393,166040011,0
22769,21/03/2016,5442713,0,2,0.63,e09a9e54e1a2f4bdd2ab7e2e0b5bb393,166040011,0
23108,22/03/2016,5442713,0,1.65,0.92,e09a9e54e1a2f4bdd2ab7e2e0b5bb393,166040011,0
23447,20/03/2016,5454049,0,1,1,3e4c8a11cc088689a0804eae08a762b8,3244830011,0
23786,21/03/2016,5454049,0,1,1,3e4c8a11cc088689a0804eae08a762b8,3244830011,0
24125,22/03/2016,5454049,0,1,1,3e4c8a11cc088689a0804eae08a762b8,3244830011,0
24464,20/03/2016,5509449,0,3,0.63,601311562246a2747940fd2232a077c7,2522081011,0
24803,21/03/2016,5509449,0,3,0.65,601311562246a2747940fd2232a077c7,2522081011,0
25142,22/03/2016,5509449,0,3,0.8,601311562246a2747940fd2232a077c7,2522081011,0
25754,20/03/2016,5567401,0,3,0.58,66f7474b2e7b6f8f83f16e2d838ccbb8,166040011,0
26093,20/03/2016,5567657,0,2,1,c164153628b32b6f89e41dcba2083a70,3244830011,0
26432,21/03/2016,5567657,0,2,1,c164153628b32b6f89e41dcba2083a70,3244830011,0
26771,22/03/2016,5567657,0,2,1,c164153628b32b6f89e41dcba2083a70,3244830011,0
27110,20/03/2016,84013,1,5,0.41,531619ee7153da5bd6f9757522fc3b16,1243732011,2.43902439
27111,20/03/2016,84013,1,5,0.41,531619ee7153da5bd6f9757522fc3b16,166220011,2.43902439
27446,21/03/2016,84013,1,5,0.39,531619ee7153da5bd6f9757522fc3b16,1243732011,2.564102564
27447,21/03/2016,84013,1,5,0.39,531619ee7153da5bd6f9757522fc3b16,166220011,2.564102564
27782,22/03/2016,84013,0,5,0.35,531619ee7153da5bd6f9757522fc3b16,1243732011,0
27783,22/03/2016,84013,0,5,0.35,531619ee7153da5bd6f9757522fc3b16,166220011,0
29756,20/03/2016,86003,0,11,0.51,a21c833975cc2b0b719b95bba9ba2721,166061011,0
30091,21/03/2016,86003,0,11,0.5,a21c833975cc2b0b719b95bba9ba2721,166061011,0
30426,22/03/2016,86003,0,11,0.48,a21c833975cc2b0b719b95bba9ba2721,166061011,0
31637,20/03/2016,87937,0,1,1,7b673dc660ed23516241f63d7220a554,166294011,0
31738,21/03/2016,87937,3,1,1,7b673dc660ed23516241f63d7220a554,166294011,3
31839,22/03/2016,87937,0,1,1,7b673dc660ed23516241f63d7220a554,166294011,0
31940,20/03/2016,88372,0,15,0.32,10acbba9054b460df7ff031e952c03f6,166269011,0
32275,21/03/2016,88372,0,14.54,0.34,10acbba9054b460df7ff031e952c03f6,166269011,0
32610,22/03/2016,88372,0,15,0.34,10acbba9054b460df7ff031e952c03f6,166269011,0
33950,20/03/2016,90019,6,5,0.41,531619ee7153da5bd6f9757522fc3b16,1243732011,14.63414634
33951,20/03/2016,90019,6,5,0.41,531619ee7153da5bd6f9757522fc3b16,166220011,14.63414634
34286,21/03/2016,90019,5,5,0.39,531619ee7153da5bd6f9757522fc3b16,1243732011,12.82051282
34287,21/03/2016,90019,5,5,0.39,531619ee7153da5bd6f9757522fc3b16,166220011,12.82051282
34622,22/03/2016,90019,13,5,0.35,531619ee7153da5bd6f9757522fc3b16,1243732011,37.14285714
34623,22/03/2016,90019,13,5,0.35,531619ee7153da5bd6f9757522fc3b16,166220011,37.14285714
36683,20/03/2016,100517,0,4,1,9bb672869130d2b23a57f6028064ba13,2491218011,0
37022,21/03/2016,100517,0,4,1,9bb672869130d2b23a57f6028064ba13,2491218011,0
37361,22/03/2016,100517,0,4,1,9bb672869130d2b23a57f6028064ba13,2491218011,0
37700,20/03/2016,170260,0,5,0.47,486d5048db412f418ae0b7f0a4439dd6,166346011,0
38038,21/03/2016,170260,0,4.52,0.56,486d5048db412f418ae0b7f0a4439dd6,166346011,0
38376,22/03/2016,170260,0,4.92,0.4,486d5048db412f418ae0b7f0a4439dd6,166346011,0
39086,20/03/2016,2740160,0,9,0.31,d6c78d68dcf42dc7d7ce2ca8878a77ed,166337011,0
39087,20/03/2016,2740160,0,9,0.31,d6c78d68dcf42dc7d7ce2ca8878a77ed,166461011,0
39614,21/03/2016,2740160,1,9,0.4,d6c78d68dcf42dc7d7ce2ca8878a77ed,166337011,2.5
39615,21/03/2016,2740160,1,9,0.4,d6c78d68dcf42dc7d7ce2ca8878a77ed,166461011,2.5
40142,22/03/2016,2740160,0,9,0.43,d6c78d68dcf42dc7d7ce2ca8878a77ed,166337011,0
40143,22/03/2016,2740160,0,9,0.43,d6c78d68dcf42dc7d7ce2ca8878a77ed,166461011,0
44921,20/03/2016,2726014,0,16.88,0.51,9a856da91b6b7ebe0b6ac5b541909e29,3245219011,0
45205,21/03/2016,2726014,0,17,0.51,9a856da91b6b7ebe0b6ac5b541909e29,3245219011,0
45489,22/03/2016,2726014,0,17,0.51,9a856da91b6b7ebe0b6ac5b541909e29,3245219011,0
45773,20/03/2016,2857266,0,12,0.81,43d478f4be48f608d9b6c98b6b6fbd7d,166316011,0
45774,21/03/2016,2857266,0,12,0.75,43d478f4be48f608d9b6c98b6b6fbd7d,166316011,0
45775,22/03/2016,2857266,0,12,0.82,43d478f4be48f608d9b6c98b6b6fbd7d,166316011,0
45791,20/03/2016,3385828,0,3,1,759ba3e44dcc994e28334a17d583280d,166316011,0
45792,21/03/2016,3385828,0,3,1,759ba3e44dcc994e28334a17d583280d,166316011,0
45793,22/03/2016,3385828,0,3,1,759ba3e44dcc994e28334a17d583280d,166316011,0
47294,20/03/2016,6306120,0,6,0.2,dac465b7b2ea9d4788aa667249a3fd0b,166316011,0
47295,21/03/2016,6306120,0,6,0.2,dac465b7b2ea9d4788aa667249a3fd0b,166316011,0
47296,22/03/2016,6306120,0,6,0.23,dac465b7b2ea9d4788aa667249a3fd0b,166316011,0
47988,20/03/2016,193179,0,1,1,a5ba75ad7a862b72e7416a749f72971d,166461011,0
47990,20/03/2016,193179,0,1,1,a5ba75ad7a862b72e7416a749f72971d,166337011,0
48666,21/03/2016,193179,0,1,1,a5ba75ad7a862b72e7416a749f72971d,166461011,0
48668,21/03/2016,193179,0,1,1,a5ba75ad7a862b72e7416a749f72971d,166337011,0
49344,22/03/2016,193179,0,1,1,a5ba75ad7a862b72e7416a749f72971d,166461011,0
49346,22/03/2016,193179,0,1,1,a5ba75ad7a862b72e7416a749f72971d,166337011,0
50022,20/03/2016,194295,0,2,0.79,7d908e017567560735e0d206fb8a562e,166064011,0
50361,21/03/2016,194295,0,2,0.77,7d908e017567560735e0d206fb8a562e,166064011,0
50700,22/03/2016,194295,0,2,0.72,7d908e017567560735e0d206fb8a562e,166064011,0
51039,20/03/2016,196577,0,1,1,46a9c4939203bcbc87017cd9a6c061e7,166054011,0
51292,21/03/2016,196577,0,1,1,46a9c4939203bcbc87017cd9a6c061e7,166054011,0
51545,22/03/2016,196577,0,1,1,46a9c4939203bcbc87017cd9a6c061e7,166054011,0
51798,20/03/2016,6146958,0,4,0.59,d9da709571b7dc5e4a605271a6a15dbb,2488224011,0
52057,21/03/2016,6146958,0,4,0.79,d9da709571b7dc5e4a605271a6a15dbb,2488224011,0
52316,22/03/2016,6146958,0,4,0.74,d9da709571b7dc5e4a605271a6a15dbb,2488224011,0
52575,20/03/2016,198924,2,1,1,9e5433bda4bd2d2ddd292fc18e1cc388,2491218011,2
52840,21/03/2016,198924,0,1,1,9e5433bda4bd2d2ddd292fc18e1cc388,2491218011,0
53105,22/03/2016,198924,0,1,1,9e5433bda4bd2d2ddd292fc18e1cc388,2491218011,0
53370,20/03/2016,2316476,0,1,1,260ea5870d9bc9a61b5926a012cafb45,166316011,0
53371,21/03/2016,2316476,0,1,1,260ea5870d9bc9a61b5926a012cafb45,166316011,0
53372,22/03/2016,2316476,0,1,1,260ea5870d9bc9a61b5926a012cafb45,166316011,0
57165,20/03/2016,6222484,0,6.71,0.71,c4c7d3e8d5d90cd134dad23019fdad3f,166347011,0
57434,21/03/2016,6222484,0,6.44,0.61,c4c7d3e8d5d90cd134dad23019fdad3f,166347011,0
57703,22/03/2016,6222484,0,6,0.66,c4c7d3e8d5d90cd134dad23019fdad3f,166347011,0
59628,20/03/2016,3500006,0,1,1,044954aee8e3e2a9f116f3e3bb83bab3,166360011,0
59629,20/03/2016,3500006,0,1,1,044954aee8e3e2a9f116f3e3bb83bab3,2491829011,0
60124,21/03/2016,3500006,0,1,1,044954aee8e3e2a9f116f3e3bb83bab3,166360011,0
60125,21/03/2016,3500006,0,1,1,044954aee8e3e2a9f116f3e3bb83bab3,2491829011,0
60620,22/03/2016,3500006,0,1,1,044954aee8e3e2a9f116f3e3bb83bab3,166360011,0
60621,22/03/2016,3500006,0,1,1,044954aee8e3e2a9f116f3e3bb83bab3,2491829011,0
63714,20/03/2016,3502670,1,3,1,753af94014f332e0b5a84b1a4bb2fd8f,166225011,1
63716,20/03/2016,3502670,1,3,1,753af94014f332e0b5a84b1a4bb2fd8f,166265011,1
64069,21/03/2016,3502670,0,3,1,753af94014f332e0b5a84b1a4bb2fd8f,166225011,0
64071,21/03/2016,3502670,0,3,1,753af94014f332e0b5a84b1a4bb2fd8f,166265011,0
64424,22/03/2016,3502670,0,3,1,753af94014f332e0b5a84b1a4bb2fd8f,166225011,0
64426,22/03/2016,3502670,0,3,1,753af94014f332e0b5a84b1a4bb2fd8f,166265011,0
65208,20/03/2016,3504768,0,1,1,6388da701fb4b33b08be1f7d157eba7b,166461011,0
65210,20/03/2016,3504768,0,1,1,6388da701fb4b33b08be1f7d157eba7b,166337011,0
65704,21/03/2016,3504768,0,1,1,6388da701fb4b33b08be1f7d157eba7b,166461011,0
65706,21/03/2016,3504768,0,1,1,6388da701fb4b33b08be1f7d157eba7b,166337011,0
66200,22/03/2016,3504768,0,1,1,6388da701fb4b33b08be1f7d157eba7b,166461011,0
66202,22/03/2016,3504768,0,1,1,6388da701fb4b33b08be1f7d157eba7b,166337011,0
71160,20/03/2016,3516524,0,6,1,37597d8b559876994a3271741729bf52,166175011,0
71162,20/03/2016,3516524,0,6,1,37597d8b559876994a3271741729bf52,166275011,0
71508,21/03/2016,3516524,0,6,1,37597d8b559876994a3271741729bf52,166175011,0
71510,21/03/2016,3516524,0,6,1,37597d8b559876994a3271741729bf52,166275011,0
71856,22/03/2016,3516524,0,6,1,37597d8b559876994a3271741729bf52,166175011,0
71858,22/03/2016,3516524,0,6,1,37597d8b559876994a3271741729bf52,166275011,0
73236,20/03/2016,352964,1,15,0.16,57eb4e811164c4816d89a75bfb79fe8d,166327011,6.25
73347,21/03/2016,352964,0,15,0.13,57eb4e811164c4816d89a75bfb79fe8d,166327011,0
73458,22/03/2016,352964,0,15,0.15,57eb4e811164c4816d89a75bfb79fe8d,166327011,0
73569,20/03/2016,692234,0,18.81,1,0305bbea90f49863f469d9188faa07d4,166310011,0
73581,20/03/2016,692234,0,18.81,1,0305bbea90f49863f469d9188faa07d4,166309011,0
73928,21/03/2016,692234,0,19,1,0305bbea90f49863f469d9188faa07d4,166310011,0
73940,21/03/2016,692234,0,19,1,0305bbea90f49863f469d9188faa07d4,166309011,0
74287,22/03/2016,692234,0,19,0.8,0305bbea90f49863f469d9188faa07d4,166310011,0
